"The Land Girls",
"First Love, Last Rites",
"I Married a Strange Person",
"Let's Talk About Sex",
"Slam",
"Mississippi Mermaid",
"Following",
"Foolish",
"Pirates",
"Duel in the Sun",
"Tom Jones",
"Oliver!",
"To Kill A Mockingbird",
"Tora, Tora, Tora",
"Hollywood Shuffle",
"Over the Hill to the Poorhouse",
"Wilson",
"Darling Lili",
"The Ten Commandments",
"12 Angry Men",
"Twelve Monkeys",
"1776",
"1941",
"Chacun sa nuit",
"2001: A Space Odyssey",
"20,000 Leagues Under the Sea",
"24 7: Twenty Four Seven",
"Twin Falls Idaho",
"Three Kingdoms: Resurrection of the Dragon",
"3 Men and a Baby",
"3 Ninjas Kick Back",
"Forty Shades of Blue",
"42nd Street",
"Four Rooms",
"The Four Seasons",
"Four Weddings and a Funeral",
"51 Birch Street",
"55 Days at Peking",
"Nine 1/2 Weeks",
"AstÈrix aux Jeux Olympiques",
"The Abyss",
"Action Jackson",
"Ace Ventura: Pet Detective",
"Ace Ventura: When Nature Calls",
"April Fool's Day",
"Among Giants",
"Annie Get Your Gun",
"Alice in Wonderland",
"The Princess and the Cobbler",
"The Alamo",
"Alexander's Ragtime Band",
"Alive",
"Amen",
"American Graffiti",
"American Ninja 2: The Confrontation",
"The American President",
"Annie Hall",
"Anatomie",
"The Adventures of Huck Finn",
"The Apartment",
"Apocalypse Now",
"Arachnophobia",
"Arn - Tempelriddaren",
"Arnolds Park",
"Sweet Sweetback's Baad Asssss Song",
"And Then Came Love",
"Around the World in 80 Days",
"Barbarella",
"Barry Lyndon",
"Barbarians, The",
"Babe",
"Boynton Beach Club",
"Baby's Day Out",
"Bound by Honor",
"Bon Cop, Bad Cop",
"Back to the Future",
"Back to the Future Part II",
"Back to the Future Part III",
"Butch Cassidy and the Sundance Kid",
"Bad Boys",
"Body Double",
"The Beast from 20,000 Fathoms",
"Beastmaster 2: Through the Portal of Time",
"The Beastmaster",
"Ben-Hur",
"Ben-Hur",
"Benji",
"Before Sunrise",
"Beauty and the Beast",
"The Best Years of Our Lives",
"The Ballad of Gregorio Cortez",
"My Big Fat Independent Movie",
"Battle for the Planet of the Apes",
"Big Things",
"Bogus",
"Beverly Hills Cop",
"Beverly Hills Cop II",
"Beverly Hills Cop III",
"The Black Hole",
"Bathory",
"Big",
"The Big Parade",
"Boyz n the Hood",
"The Book of Mormon Movie, Volume 1: The Journey",
"Return to the Blue Lagoon",
"Bright Lights, Big City",
"The Blue Bird",
"The Blue Butterfly",
"Blade Runner",
"Bloodsport",
"The Blues Brothers",
"Blow Out",
"De battre mon coeur s'est arrÍtÈ",
"The Broadway Melody",
"Boom Town",
"Bound",
"Bang",
"Bananas",
"Bill & Ted's Bogus Journey",
"The Birth of a Nation",
"The Ballad of Cable Hogue",
"The Blood of Heroes",
"The Blood of My Brother: A Story of Death in Iraq",
"Boomerang",
"The Bridge on the River Kwai",
"Born on the Fourth of July",
"Basquiat",
"Black Rain",
"Bottle Rocket",
"Braindead",
"The Bridges of Madison County",
"The Brothers McMullen",
"Dracula",
"Broken Arrow",
"Brainstorm",
"Braveheart",
"Les BronzÈs 3: amis pour la vie",
"Brazil",
"Blazing Saddles",
"The Basket",
"Bathing Beauty",
"Bill & Ted's Excellent Adventure",
"A Bridge Too Far",
"Beetle Juice",
"Batman Returns",
"Batman Forever",
"Batman - The Movie",
"Batman",
"Buffy the Vampire Slayer",
"Bienvenue chez les Ch'tis",
"Beyond the Valley of the Dolls",
"Broken Vessels",
"The Boys from Brazil",
"The Business of Fancy Dancing",
"Caddyshack",
"Cape Fear",
"Clear and Present Danger",
"Carrie",
"Casino Royale",
"Camping Sauvage",
"The Cotton Club",
"Crop Circles: Quest for Truth",
"Close Encounters of the Third Kind",
"The Cable Guy",
"Chocolate: Deep Dark Secrets",
"Child's Play",
"Child's Play 2",
"Chain Reaction",
"Charly",
"Chariots of Fire",
"A Christmas Story",
"Cat on a Hot Tin Roof",
"C.H.U.D.",
"Charge of the Light Brigade, The",
"Crooklyn",
"Festen",
"Cleopatra",
"Cliffhanger",
"The Californians",
"The Client",
"The Calling",
"Clueless",
"The Color Purple",
"Clerks",
"Central do Brasil",
"Clash of the Titans",
"Clockwatchers",
"Commando",
"The Color of Money",
"Cinderella",
"Congo",
"Conan the Barbarian",
"Conan the Destroyer",
"Class of 1984",
"The Clan of the Cave Bear",
"The Case of the Grinning Cat",
"Bacheha-Ye aseman",
"Coming Home",
